arm,innerCut,market,spec,tau,minConf,collapse,side,n,roi,units
A:incumbent,0.5,batter_hits,gbm,0.0,60,maxEv,under,253,14.28,36.1
A:incumbent,0.5,batter_rbis,gbm,0.0,60,maxEv,both,861,5.15,44.4
A:incumbent,0.5,totals,gbm,0.0,60,maxEv,both,261,-5.47,-14.3
A:incumbent,0.5,spreads,gbm,0.0,60,maxEv,both,437,3.24,14.2
A:incumbent,0.5,batter_total_bases,gbm,0.0,60,maxEv,under,1725,3.34,57.6
A:incumbent,0.5,batter_home_runs,gbm,0.0,60,maxEv,both,2,-23.68,-0.5
A:incumbent,0.5,pitcher_strikeouts,gbm,0.0,60,maxEv,both,571,-1.59,-9.1
A:incumbent,0.5,h2h,gbm,0.0,60,maxEv,both,344,2.41,8.3
A:incumbent,0.5,batter_runs_scored,gbm,0.0,60,maxEv,both,1734,2.73,47.3
A:incumbent,0.5,pitcher_outs,gbm,0.0,60,maxEv,under,253,-7.55,-19.1
A:incumbent,0.5,batter_strikeouts,gbm,0.0,60,maxEv,under,465,6.8,31.6
A:incumbent,0.6,batter_hits,gbm,0.0,60,maxEv,under,207,20.73,42.9
A:incumbent,0.6,batter_rbis,gbm,0.0,60,maxEv,both,732,5.81,42.5
A:incumbent,0.6,totals,gbm,0.0,60,maxEv,both,206,-1.12,-2.3
A:incumbent,0.6,spreads,gbm,0.0,60,maxEv,over,229,1.1,2.5
A:incumbent,0.6,batter_total_bases,gbm,0.0,60,maxEv,under,1460,4.36,63.7
A:incumbent,0.6,batter_home_runs,gbm,0.0,60,maxEv,both,2,-23.68,-0.5
A:incumbent,0.6,pitcher_strikeouts,gbm,0.0,60,maxEv,both,445,-2.82,-12.5
A:incumbent,0.6,h2h,gbm,0.0,60,maxEv,both,268,3.27,8.8
A:incumbent,0.6,batter_runs_scored,gbm,0.0,60,maxEv,both,1362,2.8,38.2
A:incumbent,0.6,pitcher_outs,gbm,0.0,60,maxEv,under,210,-8.16,-17.1
A:incumbent,0.6,batter_strikeouts,gbm,0.0,60,maxEv,under,368,10.27,37.8
A:incumbent,0.7,batter_hits,gbm,0.04,60,maxEv,under,153,21.29,32.6
A:incumbent,0.7,batter_rbis,gbm,0.04,60,maxEv,both,268,10.0,26.8
A:incumbent,0.7,totals,gbm,0.04,60,maxEv,over,69,-20.9,-14.4
A:incumbent,0.7,spreads,gbm,0.04,60,maxEv,over,175,-0.25,-0.4
A:incumbent,0.7,batter_total_bases,gbm,0.04,60,maxEv,under,394,4.25,16.8
A:incumbent,0.7,batter_home_runs,gbm,0.04,60,maxEv,both,2,-23.68,-0.5
A:incumbent,0.7,pitcher_strikeouts,gbm,0.04,60,maxEv,both,248,-2.95,-7.3
A:incumbent,0.7,h2h,gbm,0.04,60,maxEv,both,194,3.84,7.4
A:incumbent,0.7,batter_runs_scored,gbm,0.04,60,maxEv,both,739,3.35,24.7
A:incumbent,0.7,pitcher_outs,gbm,0.04,60,maxEv,both,239,-3.34,-8.0
